Id,SalePrice
1461,123617.86
1462,162828.94
1463,190776.44
1464,193191.34
1465,191423.4
1466,178347.47
1467,174394.48
1468,166591.16
1469,185444.83
1470,128718.53
1471,202871.92
1472,98096.75
1473,99050.195
1474,153072.11
1475,124229.41
1476,396085.6
1477,251344.67
1478,294900.03
1479,276778.6
1480,580198.7
1481,307022.72
1482,206802.61
1483,169831.38
1484,167429.98
1485,181045.2
1486,190491.08
1487,344769.3
1488,232383.23
1489,218273.97
1490,216999.72
1491,187356.64
1492,91528.89
1493,195155.8
1494,294122.9
1495,283531.1
1496,249710.05
1497,182305.0
1498,162393.97
1499,160333.61
1500,156592.98
1501,189361.16
1502,157323.73
1503,279107.12
1504,244977.66
1505,229026.08
1506,193374.89
1507,234040.28
1508,209042.6
1509,158757.36
1510,144143.77
1511,146821.45
1512,167465.36
1513,143934.95
1514,170995.33
1515,201003.98
1516,167785.83
1517,156093.08
1518,130699.78
1519,233788.23
1520,136513.2
1521,141307.33
1522,165416.66
1523,112390.25
1524,127388.695
1525,126696.93
1526,109380.4
1527,105021.33
1528,135698.48
1529,145030.83
1530,178507.94
1531,117346.42
1532,97641.76
1533,157105.16
1534,121234.26
1535,159504.05
1536,107345.32
1537,61509.91
1538,174484.5
1539,215745.22
1540,91468.24
1541,147946.27
1542,135473.45
1543,214042.11
1544,85519.36
1545,104096.24
1546,122557.02
1547,134586.53
1548,136038.36
1549,117364.46
1550,133374.06
1551,114066.32
1552,147845.38
1553,150658.56
1554,110020.27
1555,172717.28
1556,81996.3
1557,110784.805
1558,93873.555
1559,90208.234
1560,135313.55
1561,153394.47
1562,128724.44
1563,126360.555
1564,162241.52
1565,147746.66
1566,242974.42
1567,72771.56
1568,230195.11
1569,147156.97
1570,140138.52
1571,129043.33
1572,153667.0
1573,262349.03
1574,106277.9
1575,218279.58
1576,243095.7
1577,202960.86
1578,146174.38
1579,146357.19
1580,190791.47
1581,149993.03
1582,126180.29
1583,338727.8
1584,229358.19
1585,139668.56
1586,69300.57
1587,98219.85
1588,157293.25
1589,95923.305
1590,137903.66
1591,99038.54
1592,116690.38
1593,129429.88
1594,142191.22
1595,109553.66
1596,229852.53
1597,179540.0
1598,194433.62
1599,190147.44
1600,180128.61
1601,76681.09
1602,113255.125
